customer_id,interarrival_time,arrival_time,service_start_time,service_time,service_completion_time,waiting_time,time_in_system
1,5.478,5.478,5.478,5.0,10.478,0.0,5.0
2,3.396,8.873,10.478,3.0,13.478,1.604,4.604
3,6.737,15.61,15.61,3.0,18.61,0.0,3.0
4,3.182,18.792,18.792,5.0,23.792,0.0,5.0
5,5.259,24.051,24.051,5.0,29.051,0.0,5.0
6,9.733,33.784,33.784,10.0,43.784,0.0,10.0
7,1.767,35.551,43.784,5.0,48.784,8.233,13.233
8,3.856,39.407,48.784,10.0,58.784,9.377,19.377
9,7.088,46.495,58.784,10.0,68.784,12.289,22.289
10,1.767,48.262,68.784,5.0,73.784,20.522,25.522
11,2.38,50.642,73.784,5.0,78.784,23.142,28.142
12,8.427,59.07,78.784,5.0,83.784,19.714,24.714
13,9.818,68.887,83.784,3.0,86.784,14.897,17.897
14,3.874,72.761,86.784,10.0,96.784,14.023,24.023
15,2.701,75.462,96.784,10.0,106.784,21.322,31.322
16,9.751,85.213,106.784,5.0,111.784,21.571,26.571
17,3.96,89.173,111.784,5.0,116.784,22.61,27.61
18,6.434,95.608,116.784,10.0,126.784,21.176,31.176
19,6.467,102.075,126.784,5.0,131.784,24.709,29.709
20,6.715,108.79,131.784,5.0,136.784,22.994,27.994
