customer_id,interarrival_time,arrival_time,service_start_time,service_time,service_completion_time,waiting_time,time_in_system
1,1.7843,1.7843,1.7843,6.0,7.7843,0.0,6.0
2,3.9933,5.7776,5.7776,7.0,12.7776,0.0,7.0
3,9.6767,15.4543,15.4543,4.0,19.4543,0.0,4.0
4,7.8224,23.2766,23.2766,4.0,27.2766,0.0,4.0
5,2.0619,25.3385,25.3385,6.0,31.3385,0.0,6.0
6,3.2175,28.556,28.556,6.0,34.556,0.0,6.0
7,1.9094,30.4655,30.4655,5.0,35.4655,0.0,5.0
8,1.539,32.0045,32.0045,6.0,38.0045,0.0,6.0
9,8.1732,40.1777,40.1777,5.0,45.1777,0.0,5.0
10,2.5991,42.7768,42.7768,7.0,49.7768,0.0,7.0
11,6.0337,48.8104,48.8104,4.0,52.8104,0.0,4.0
12,5.0268,53.8373,53.8373,6.0,59.8373,0.0,6.0
13,2.7162,56.5534,56.5534,7.0,63.5534,0.0,7.0
14,7.587,64.1405,64.1405,4.0,68.1405,0.0,4.0
15,2.1787,66.3192,66.3192,5.0,71.3192,0.0,5.0
16,6.7934,73.1126,73.1126,4.0,77.1126,0.0,4.0
17,2.0486,75.1612,75.1612,4.0,79.1612,0.0,4.0
18,4.7868,79.948,79.948,3.0,82.948,0.0,3.0
19,2.9158,82.8638,82.8638,2.0,84.8638,0.0,2.0
20,3.4282,86.2919,86.2919,6.0,92.2919,0.0,6.0
21,9.7384,96.0303,96.0303,4.0,100.0303,0.0,4.0
22,8.2307,104.261,104.261,5.0,109.261,0.0,5.0
23,3.7373,107.9983,107.9983,6.0,113.9983,0.0,6.0
24,8.9638,116.9621,116.9621,4.0,120.9621,0.0,4.0
25,2.8964,119.8585,119.8585,4.0,123.8585,0.0,4.0
26,4.5485,124.407,124.407,3.0,127.407,0.0,3.0
27,8.6894,133.0963,133.0963,6.0,139.0963,0.0,6.0
28,6.7765,139.8729,139.8729,6.0,145.8729,0.0,6.0
29,1.903,141.7759,141.7759,6.0,147.7759,0.0,6.0
30,9.9037,151.6796,151.6796,7.0,158.6796,0.0,7.0
31,2.9192,154.5988,154.5988,5.0,159.5988,0.0,5.0
32,3.3245,157.9233,157.9233,5.0,162.9233,0.0,5.0
33,7.9542,165.8775,165.8775,4.0,169.8775,0.0,4.0
34,3.9606,169.8381,169.8381,6.0,175.8381,0.0,6.0
35,3.6669,173.505,173.505,4.0,177.505,0.0,4.0
36,1.6606,175.1656,175.1656,4.0,179.1656,0.0,4.0
37,1.8111,176.9766,176.9766,4.0,180.9766,0.0,4.0
38,6.2446,183.2213,183.2213,5.0,188.2213,0.0,5.0
39,3.1871,186.4084,186.4084,5.0,191.4084,0.0,5.0
40,6.4116,192.8199,192.8199,5.0,197.8199,0.0,5.0
41,4.3453,197.1653,197.1653,4.0,201.1653,0.0,4.0
42,5.0789,202.2441,202.2441,4.0,206.2441,0.0,4.0
43,9.6322,211.8763,211.8763,6.0,217.8763,0.0,6.0
44,5.3535,217.2299,217.2299,4.0,221.2299,0.0,4.0
45,6.1711,223.401,223.401,4.0,227.401,0.0,4.0
46,8.7987,232.1997,232.1997,3.0,235.1997,0.0,3.0
47,2.6454,234.8452,234.8452,4.0,238.8452,0.0,4.0
48,2.3872,237.2324,237.2324,3.0,240.2324,0.0,3.0
49,9.1758,246.4082,246.4082,4.0,250.4082,0.0,4.0
50,8.3602,254.7684,254.7684,5.0,259.7684,0.0,5.0
52,2.7082,260.7221,260.7221,5.0,265.7221,0.0,5.0
51,3.2455,258.0139,258.0139,8.0,266.0139,0.0,8.0
53,7.6548,268.3769,268.3769,4.0,272.3769,0.0,4.0
54,9.4636,277.8406,277.8406,5.0,282.8406,0.0,5.0
55,2.7693,280.6099,280.6099,5.0,285.6099,0.0,5.0
56,9.5512,290.1611,290.1611,6.0,296.1611,0.0,6.0
57,8.9397,299.1008,299.1008,5.0,304.1008,0.0,5.0
58,6.4318,305.5326,305.5326,7.0,312.5326,0.0,7.0
59,4.7931,310.3258,310.3258,4.0,314.3258,0.0,4.0
60,1.9346,312.2603,312.2603,4.0,316.2603,0.0,4.0
